,sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
94124,SR23-01810510,Sidewalk Inspection Request,PBS,CDOT - Department of Transportation,Open,Internet,2023-10-19 10:04:22,2023-10-19T10:04:23.000,,2714 W AUGUSTA BLVD,Chicago,Illinois,60622,2714,W,AUGUSTA,BLVD,True,False,24,26,1,12,1211,36,10,5,10,1158026.598822075,1906624.444009207,41.899536001,-87.695019,"{'latitude': '41.899536000940536', 'longitude': '-87.6950190000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,J020,SR23-00887702,
57789,SR23-01760425,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-12 10:25:11,2023-10-12T10:32:55.000,2023-10-12 10:25:11,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
46789,SR23-01745556,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-10 11:08:58,2023-10-10T11:09:02.000,2023-10-10 11:09:02,2200 N KILDARE AVE,Chicago,Illinois,60639,2200,N,KILDARE,AVE,False,False,20,35,2,25,2522,18,11,3,10,1147285.878462848,1914320.034961181,41.920866001,-87.7342725,"{'latitude': '41.92086600094057', 'longitude': '-87.73427250000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,F017,,0.0011111111111111111
103615,SR23-01824784,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-20 20:51:04,2023-10-20T21:30:56.000,2023-10-20 20:51:05,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,20,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
107432,SR23-01829136,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Internet,2023-10-21 22:15:06,2023-10-23T09:44:27.000,2023-10-23 09:44:27,2050 W OGDEN AVE,Chicago,Illinois,60612,2050,W,OGDEN,AVE,False,False,28,28,2,12,1225,46,22,7,10,1162818.49699652,1896547.069156667,41.871783658,-87.677701178,"{'latitude': '41.87178365770274', 'longitude': '-87.67770117845599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,K024,,35.48916666666667
146773,SR23-01877016,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mobile Device,2023-10-29 08:28:36,2023-10-30T10:47:30.000,2023-10-30 10:47:30,3527 W CORTLAND ST,,,,3527,W,CORTLAND,ST,False,False,22,26,2,14,1422,2,8,1,10,1152662.217489068,1912321.469081511,41.915277001,-87.7145715,"{'latitude': '41.91527700094057', 'longitude': '-87.71457150000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H018,,26.315
131183,SR23-01858216,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Mobile Device,2023-10-26 09:31:16,2023-11-15T10:27:15.000,2023-11-15 10:27:15,3309 S HOYNE AVE,,,,3309,S,HOYNE,AVE,False,False,59,12,1,09,0912,8,9,5,10,1162960.772178017,1882666.859071969,41.833692001,-87.677568,"{'latitude': '41.83369200094028', 'longitude': '-87.6775680000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,K029,,480.93305555555554
70804,SR23-01776918,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-15 05:35:01,2023-10-15T06:30:38.000,2023-10-15 05:35:02,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,5,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
138895,SR23-01867744,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27 11:37:33,2023-10-27T12:31:05.000,2023-10-27 11:37:33,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
17687,SR23-01708652,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-04 10:14:13,2023-10-04T10:32:52.000,2023-10-04 10:14:13,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
