sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
SR23-01770577,Aircraft Noise Complaint,AVN,Aviation,Completed,Mobile Device,2023-10-13 15:38:02,2023-10-13T16:30:43.000,2023-10-13 15:38:02,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,15,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01756745,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-11 17:16:15,2023-10-11T17:31:54.000,2023-10-11 17:16:16,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,17,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01705478,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Internet,2023-10-03 18:25:29,2023-10-04T07:56:07.000,2023-10-04 07:56:07,3311 N WESTERN AVE,Chicago,Illinois,60618,3311,N,WESTERN,AVE,False,False,5,32,2,19,1921,19,18,3,10,1159894.392041245,1921997.704202113,41.941683001,-87.6877335,"{'latitude': '41.94168300094067', 'longitude': '-87.68773350000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,K014,,13.510555555555555
SR23-01832028,Ridesharing Complaint,TNP,BACP - Business Affairs and Consumer Protection,Open,Mobile Device,2023-10-22 15:24:30,2023-11-06T15:39:52.000,,1615 N DAMEN AVE,,,,1615,N,DAMEN,AVE,False,False,24,32,3,14,1434,25,15,1,10,1162785.859433249,1910810.268421076,41.910923713,-87.677420704,"{'latitude': '41.91092371339162', 'longitude': '-87.67742070430333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L018,,
SR23-01725625,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Mobile Device,2023-10-06 13:03:55,2023-10-18T13:54:11.000,2023-10-18 13:54:11,4750 S INDIANA AVE,,,,4750,S,INDIANA,AVE,False,False,38,3,2,02,0224,1,13,6,10,1178314.367233172,1873346.603083619,41.807781001,-87.621516,"{'latitude': '41.80778100094018', 'longitude': '-87.6215160000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Q033,,288.8377777777778
SR23-01797023,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-17 18:16:51,2023-10-17T18:31:00.000,2023-10-17 18:16:51,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,18,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01846854,Tree Emergency,SEC,Streets and Sanitation,Completed,Phone Call,2023-10-24 15:54:41,2023-10-24T16:29:17.000,2023-10-24 16:29:17,1842 W 83RD ST,Chicago,Illinois,60620,1842,W,83RD,ST,False,False,71,17,1,06,0614,18,15,3,10,1165313.441814125,1849717.05902527,41.743224001,-87.6698685,"{'latitude': '41.743224000939954', 'longitude': '-87.66986850000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L041,,0.5766666666666667
SR23-01878774,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Mobile Device,2023-10-29 16:20:23,2023-10-31T10:01:23.000,2023-10-31 10:01:23,2438 N MOZART ST,,,,2438,N,MOZART,ST,False,False,22,1,1,14,1414,26,16,1,10,1156884.45886091,1916271.661625875,41.926032001,-87.698952,"{'latitude': '41.926032000940594', 'longitude': '-87.69895200000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,I016,,41.68333333333333
SR23-01742325,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-09 21:22:25,2023-10-09T21:30:44.000,2023-10-09 21:22:26,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,21,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01778504,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-15 12:19:10,2023-10-15T12:30:38.000,2023-10-15 12:19:10,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,12,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
